Image,Label
3819,1163511
3820,35283
3821,1319
3822,211111171
3823,18055
3824,6401133541
3825,144540
3826,325110
3827,35316
3828,01811
3829,318457
3830,19608
3831,24196935
3832,44553
3833,24400
3834,076104
3835,33161432
3836,10503
3837,14591
3838,105816
3839,53066
3840,16064
3841,1474481
3842,318671
3843,324441
3844,13711711
3845,1659544
3846,54141811
3847,1719649
3848,155171
3849,0303191
3850,45516
3851,26514
3852,803
3853,376342
3854,16221
3855,79289
3856,710789
3857,6537
3858,45711171
3859,850740
3860,544444
3861,138509
3862,13382
3863,42154
3864,29917
3865,853817
3866,3846
3867,106394
3868,803152
3869,24485771
3870,55689
3871,852447471
3872,12139
3873,6383111
3874,41801
3875,7811318
3876,699230
3877,1390039
3878,897493
3879,3629
3880,62719
3881,367315
3882,8001
3883,976764443
3884,231316631
3885,14780
3886,8511114111
3887,263036
3888,314928
3889,111697
3890,1461355
3891,99319
3892,974338
3893,764404
3894,20136
3895,56005
3896,447544
3897,6531754
3898,2474
3899,111116171
3900,1185717111
3901,112673
3902,10092
3903,4031171
3904,274111141
3905,324141315
3906,3572
3907,1416017
3908,4029
3909,35337
3910,607713
3911,278111
3912,61411119
3913,11111136
3914,3925
3915,320874
3916,66187
3917,6618
3918,661111
3919,1301
3920,1330
3921,38381
3922,7442521
3923,49333
3924,314141415
3925,14114358
3926,27379
3927,321117
3928,9834
3929,53116
3930,16464331
3931,41171171
3932,7747
3933,7119
3934,3131701
3935,47463111
3936,12930
3937,871023
3938,397436
3939,383134
3940,149274
3941,3175114
3942,188055
3943,17138
3944,667116
3945,1730
3946,166430
3947,399011
3948,11141
3949,2696187
3950,101161
3951,41211309
3952,816464
3953,1211
3954,318595
3955,76552
3956,1491185
3957,29974
3958,42965
3959,113111411111
3960,483749
3961,114111
3962,85884441
3963,178
3964,11361
3965,20567
3966,406418
3967,17441
3968,53972
3969,51395
3970,364454274
3971,117153911
3972,9240
3973,611145311
3974,73531
3975,6793
3976,41414141
3977,11854185
3978,453415
3979,6974146
3980,311238
3981,62240
3982,751111111
3983,705711
3984,314155011
3985,44391002631
3986,8743325
3987,44457111
3988,200603
3989,30300944511
3990,4314422
3991,039539334
3992,00317334
3993,285711
3994,45585411
3995,326633
3996,33011285
3997,55766
3998,199670
3999,22907
4000,3923113
4001,70493
4002,5331631
4003,037694
4004,0661515
4005,10066037
4006,0665514
4007,4402314133
4008,390748
4009,39089
4010,075160
4011,182649
4012,176981
4013,318567
4014,26555
4015,10800
4016,149224
4017,74429
4018,88564
4019,665117137
4020,874022
4021,360159
4022,539492
4023,74084355
4024,85742744
4025,262531
4026,710612
4027,8772
4028,350317
4029,17119
4030,50986
4031,241313
4032,111411414
4033,25549
4034,17610
4035,32084
4036,66178
4037,68962
4038,313114
4039,444497413
4040,323396
4041,109615
4042,75231111
4043,18527115
4044,136589
4045,1982
4046,25361
4047,160111932
4048,427871
4049,1703939
4050,610250
4051,398110
4052,112741
4053,58771171
4054,224160
4055,24498
4056,44977
4057,23131743
4058,111155
4059,241184
4060,7441530
4061,227940
4062,2313169
4063,45904
4064,33595
4065,618947
4066,76067
4067,471205
4068,119998
4069,66171
4070,11095
4071,616141111
4072,467164
4073,78336
4074,135710
4075,710666
4076,219898
4077,15724
4078,20351
4079,85855311111
4080,5690
4081,1183114
4082,51311
4083,41144
4084,511166
4085,447185
4086,51314
4087,474274
4088,86741
4089,11057
4090,21132354411
4091,116815
4092,6481
4093,3120077
4094,277718
4095,54489
4096,39128
4097,107164
4098,35524
4099,9962
4100,0074166
4101,11031721
4102,141185814
4103,99112
4104,17901
4105,311472
4106,1110319
4107,771716
4108,13174
4109,1576385
4110,1417714111
4111,111316311
4112,1751188
4113,51408
4114,438785
4115,37796
4116,21248
4117,612418
4118,24494
4119,28239
4120,748574371
4121,5533411
4122,5071855
4123,684173
4124,777740
4125,3156141
4126,30696
4127,624001
4128,18147
4129,90885
4130,050858585
4131,79888
4132,491874
4133,111523
4134,17484741
4135,16116
4136,31161716
4137,23607
4138,66188
4139,3821
4140,50018
4141,912231
4142,469411
4143,26129
4144,13036
4145,11117
4146,274483
4147,6117399
4148,6267
4149,610359
4150,1086
4151,311310318
4152,35221116
4153,141141
4154,1596
4155,85658544
4156,8565634
4157,82322
4158,366941139
4159,47440
4160,68199
4161,131156
4162,38360
4163,11885
4164,7536
4165,32444464
4166,112785
4167,26552
4168,259431
4169,1618527
4170,611682
4171,385831
4172,1414775
4173,168881
4174,13745
4175,1385441
4176,31326
4177,55079
4178,1649
4179,3340
4180,559716
4181,317342
4182,111185
4183,6890
4184,11871971
4185,908747
4186,403110
4187,373700
4188,005899
4189,154341
4190,1314001
4191,111261
4192,4923
4193,41393941
4194,41395511
4195,565661
4196,50991
4197,6123033
4198,64374
4199,44
4200,44
4201,114104141
4202,119233
4203,211008
4204,44346190
4205,96140
4206,037431
4207,88717
4208,319029
4209,9319048
4210,4458
4211,9266
4212,288410
4213,558313
4214,63743
4215,55228
4216,713645
4217,41111137
4218,2210
4219,99803
4220,6121473
4221,1643149
4222,20663
4223,70538
4224,1544717
4225,6530871
4226,2338585
4227,1321135
4228,7211
4229,75711111
4230,134686
4231,7000
4232,4259
4233,91317411
4234,171626
4235,12066
4236,6717316
4237,9746411
4238,141750
4239,741111411
4240,24644114
4241,37969
4242,211111141
4243,11772
4244,47486
4245,80743737
4246,88281
4247,666748
4248,475747
4249,74747444
4250,67186
4251,6114174
4252,7111113011
4253,874857
4254,22224
4255,11131
4256,53395
4257,249985
4258,711
4259,1171220
4260,1717311
4261,18118517
4262,5886
4263,358895
4264,65004
4265,1212147
4266,634747
4267,15358
4268,326674
4269,43541731
4270,31311
4271,0903474
4272,174337
4273,043111185
4274,13080
